subject_id,compound,region,value,unit
16,DA,PL,0.03785,ng/mg
18,DA,PL,0.03337,ng/mg
19,DA,PL,0.0132,ng/mg
22,DA,PL,0.02817,ng/mg
27,DA,PL,0.02773,ng/mg
30,DA,PL,0.0185,ng/mg
37,DA,PL,0.04408,ng/mg
39,DA,PL,0.02223,ng/mg
46,DA,PL,0.03639,ng/mg
53,DA,PL,0.03421,ng/mg
55,DA,PL,0.02149,ng/mg
23,DA,PL,0.01799,ng/mg
24,DA,PL,0.04109,ng/mg
31,DA,PL,0.03471,ng/mg
36,DA,PL,0.01737,ng/mg
38,DA,PL,0.02893,ng/mg
40,DA,PL,0.03751,ng/mg
44,DA,PL,0.02928,ng/mg
50,DA,PL,0.02245,ng/mg
51,DA,PL,0.02259,ng/mg
57,DA,PL,0.03202,ng/mg
21,DA,PL,0.03893,ng/mg
25,DA,PL,0.0234,ng/mg
35,DA,PL,0.01447,ng/mg
41,DA,PL,0.03256,ng/mg
45,DA,PL,0.02382,ng/mg
49,DA,PL,0.03759,ng/mg
52,DA,PL,0.01722,ng/mg
58,DA,PL,0.12109,ng/mg
61,DA,PL,0.02418,ng/mg
66,DA,PL,0.03248,ng/mg
69,DA,PL,0.0381,ng/mg
2,DA,aCC,0.00844,ng/mg
5,DA,aCC,0.01292,ng/mg
7,DA,aCC,0.01711,ng/mg
9,DA,aCC,0.01545,ng/mg
11,DA,aCC,0.02171,ng/mg
17,DA,aCC,0.00688,ng/mg
20,DA,aCC,0.01541,ng/mg
28,DA,aCC,0.01192,ng/mg
32,DA,aCC,0.0177,ng/mg
59,DA,aCC,0.0184,ng/mg
67,DA,aCC,0.02523,ng/mg
16,DA,aCC,0.03104,ng/mg
18,DA,aCC,0.02354,ng/mg
19,DA,aCC,0.02581,ng/mg
22,DA,aCC,0.02225,ng/mg
27,DA,aCC,0.02325,ng/mg
30,DA,aCC,0.02877,ng/mg
37,DA,aCC,0.02477,ng/mg
39,DA,aCC,0.02811,ng/mg
46,DA,aCC,0.02884,ng/mg
53,DA,aCC,0.01902,ng/mg
55,DA,aCC,0.01894,ng/mg
23,DA,aCC,0.02166,ng/mg
24,DA,aCC,0.02184,ng/mg
31,DA,aCC,0.01429,ng/mg
36,DA,aCC,0.03108,ng/mg
38,DA,aCC,0.01268,ng/mg
40,DA,aCC,0.02684,ng/mg
44,DA,aCC,0.01281,ng/mg
50,DA,aCC,0.02985,ng/mg
51,DA,aCC,0.01752,ng/mg
57,DA,aCC,0.01619,ng/mg
21,DA,aCC,0.0201,ng/mg
25,DA,aCC,0.01885,ng/mg
35,DA,aCC,0.01445,ng/mg
41,DA,aCC,0.02035,ng/mg
45,DA,aCC,0.01295,ng/mg
49,DA,aCC,0.01915,ng/mg
52,DA,aCC,0.03499,ng/mg
58,DA,aCC,0.01624,ng/mg
61,DA,aCC,0.01266,ng/mg
66,DA,aCC,0.02145,ng/mg
69,DA,aCC,0.02347,ng/mg
2,DA,IC,0.00253,ng/mg
5,DA,IC,0.04997,ng/mg
7,DA,IC,1.40011,ng/mg
9,DA,IC,0.38886,ng/mg
11,DA,IC,0.71067,ng/mg
17,DA,IC,0.01116,ng/mg
20,DA,IC,0.30007,ng/mg
28,DA,IC,1.29123,ng/mg
32,DA,IC,0.29081,ng/mg
59,DA,IC,0.53989,ng/mg
67,DA,IC,0.15221,ng/mg
16,DA,IC,1.29157,ng/mg
18,DA,IC,0.73104,ng/mg
19,DA,IC,0.04539,ng/mg
22,DA,IC,0.23172,ng/mg
27,DA,IC,0.05645,ng/mg
30,DA,IC,0.15293,ng/mg
37,DA,IC,0.55208,ng/mg
39,DA,IC,0.06176,ng/mg
46,DA,IC,0.73565,ng/mg
53,DA,IC,2.10362,ng/mg
55,DA,IC,0.25383,ng/mg
23,DA,IC,0.64265,ng/mg
24,DA,IC,2.15601,ng/mg
31,DA,IC,0.38498,ng/mg
36,DA,IC,0.07494,ng/mg
38,DA,IC,0.21149,ng/mg
40,DA,IC,0.60141,ng/mg
44,DA,IC,0.54877,ng/mg
50,DA,IC,0.01575,ng/mg
51,DA,IC,1.25833,ng/mg
57,DA,IC,0.55796,ng/mg
21,DA,IC,0.63587,ng/mg
25,DA,IC,0.50331,ng/mg
35,DA,IC,0.01825,ng/mg
41,DA,IC,0.18421,ng/mg
45,DA,IC,2.00031,ng/mg
49,DA,IC,0.2313,ng/mg
52,DA,IC,0.40526,ng/mg
58,DA,IC,0.64143,ng/mg
61,DA,IC,0.3867,ng/mg
66,DA,IC,0.48263,ng/mg
69,DA,IC,2.80303,ng/mg
2,DA,M1,0.01256,ng/mg
5,DA,M1,0.01713,ng/mg
7,DA,M1,0.01695,ng/mg
9,DA,M1,0.01133,ng/mg
11,DA,M1,0.01243,ng/mg
17,DA,M1,0.0111,ng/mg
20,DA,M1,0.01432,ng/mg
28,DA,M1,0.00565,ng/mg
32,DA,M1,0.01937,ng/mg
59,DA,M1,0.0104,ng/mg
67,DA,M1,0.00938,ng/mg
16,DA,M1,0.01036,ng/mg
18,DA,M1,0.01821,ng/mg
19,DA,M1,0.01535,ng/mg
22,DA,M1,0.01617,ng/mg
27,DA,M1,0.00778,ng/mg
30,DA,M1,0.01272,ng/mg
37,DA,M1,0.01829,ng/mg
39,DA,M1,0.00962,ng/mg
46,DA,M1,0.01594,ng/mg
53,DA,M1,0.02249,ng/mg
55,DA,M1,0.01562,ng/mg
23,DA,M1,0.01716,ng/mg
24,DA,M1,0.018,ng/mg
31,DA,M1,0.01317,ng/mg
36,DA,M1,0.01794,ng/mg
38,DA,M1,0.02056,ng/mg
40,DA,M1,0.0137,ng/mg
44,DA,M1,0.01291,ng/mg
50,DA,M1,0.01745,ng/mg
51,DA,M1,0.01221,ng/mg
57,DA,M1,0.01478,ng/mg
21,DA,M1,0.03349,ng/mg
25,DA,M1,0.01235,ng/mg
35,DA,M1,0.00761,ng/mg
41,DA,M1,0.01971,ng/mg
45,DA,M1,0.01385,ng/mg
49,DA,M1,0.01805,ng/mg
52,DA,M1,0.01014,ng/mg
58,DA,M1,0.01177,ng/mg
61,DA,M1,0.01089,ng/mg
66,DA,M1,0.016,ng/mg
69,DA,M1,0.01293,ng/mg
2,DA,SJ,0.00028,ng/mg
5,DA,SJ,0.01112,ng/mg
7,DA,SJ,0.00904,ng/mg
9,DA,SJ,0.00272,ng/mg
11,DA,SJ,0.00395,ng/mg
17,DA,SJ,0.00102,ng/mg
20,DA,SJ,0.00092,ng/mg
28,DA,SJ,0.0026,ng/mg
32,DA,SJ,0.03502,ng/mg
59,DA,SJ,0.00163,ng/mg
67,DA,SJ,0.0045,ng/mg
16,DA,SJ,0.01158,ng/mg
18,DA,SJ,0.04164,ng/mg
19,DA,SJ,0.00218,ng/mg
22,DA,SJ,0.00661,ng/mg
27,DA,SJ,0.00061,ng/mg
30,DA,SJ,0.00294,ng/mg
37,DA,SJ,0.08342,ng/mg
39,DA,SJ,0.00175,ng/mg
46,DA,SJ,0.00092,ng/mg
53,DA,SJ,0.22703,ng/mg
55,DA,SJ,0.03202,ng/mg
23,DA,SJ,0.00386,ng/mg
24,DA,SJ,0.01232,ng/mg
31,DA,SJ,0.00751,ng/mg
36,DA,SJ,0.00277,ng/mg
38,DA,SJ,0.00695,ng/mg
40,DA,SJ,0.00622,ng/mg
44,DA,SJ,0.12184,ng/mg
50,DA,SJ,0.00058,ng/mg
51,DA,SJ,0.00591,ng/mg
57,DA,SJ,0.01331,ng/mg
21,DA,SJ,0.00529,ng/mg
25,DA,SJ,0.00365,ng/mg
35,DA,SJ,0.00091,ng/mg
41,DA,SJ,0.00532,ng/mg
45,DA,SJ,0.00225,ng/mg
49,DA,SJ,0.00149,ng/mg
52,DA,SJ,0.00197,ng/mg
58,DA,SJ,0.00235,ng/mg
61,DA,SJ,0.00213,ng/mg
66,DA,SJ,0.00191,ng/mg
69,DA,SJ,0.00499,ng/mg
2,DA,S1R,0.00591,ng/mg
5,DA,S1R,0.00275,ng/mg
7,DA,S1R,0.02969,ng/mg
9,DA,S1R,0.00363,ng/mg
11,DA,S1R,0.00534,ng/mg
17,DA,S1R,0.00197,ng/mg
20,DA,S1R,0.00315,ng/mg
28,DA,S1R,0.0027,ng/mg
32,DA,S1R,0.02375,ng/mg
59,DA,S1R,0.0063,ng/mg
67,DA,S1R,0.00558,ng/mg
16,DA,S1R,0.00624,ng/mg
18,DA,S1R,0.00717,ng/mg
19,DA,S1R,0.00559,ng/mg
22,DA,S1R,0.00614,ng/mg
27,DA,S1R,0.00365,ng/mg
30,DA,S1R,0.00566,ng/mg
37,DA,S1R,0.00728,ng/mg
39,DA,S1R,0.0076,ng/mg
46,DA,S1R,0.01514,ng/mg
53,DA,S1R,0.00628,ng/mg
55,DA,S1R,0.00909,ng/mg
23,DA,S1R,0.00385,ng/mg
24,DA,S1R,0.00493,ng/mg
31,DA,S1R,0.00506,ng/mg
36,DA,S1R,0.0022,ng/mg
38,DA,S1R,0.00464,ng/mg
40,DA,S1R,0.00542,ng/mg
44,DA,S1R,0.00874,ng/mg
50,DA,S1R,0.00476,ng/mg
51,DA,S1R,0.00898,ng/mg
57,DA,S1R,0.00634,ng/mg
21,DA,S1R,0.00744,ng/mg
25,DA,S1R,0.00394,ng/mg
35,DA,S1R,0.00455,ng/mg
41,DA,S1R,0.00642,ng/mg
45,DA,S1R,0.00649,ng/mg
49,DA,S1R,0.00827,ng/mg
52,DA,S1R,0.0026,ng/mg
58,DA,S1R,0.00472,ng/mg
61,DA,S1R,0.0045,ng/mg
66,DA,S1R,0.00905,ng/mg
69,DA,S1R,0.00694,ng/mg
2,DA,S1L,0.00274,ng/mg
5,DA,S1L,0.00306,ng/mg
7,DA,S1L,0.00544,ng/mg
9,DA,S1L,0.00342,ng/mg
11,DA,S1L,0.00857,ng/mg
17,DA,S1L,0.00189,ng/mg
20,DA,S1L,0.00648,ng/mg
28,DA,S1L,0.00294,ng/mg
32,DA,S1L,0.00406,ng/mg
59,DA,S1L,0.00679,ng/mg
67,DA,S1L,0.01199,ng/mg
16,DA,S1L,0.00651,ng/mg
18,DA,S1L,0.00734,ng/mg
19,DA,S1L,0.028,ng/mg
22,DA,S1L,0.00869,ng/mg
27,DA,S1L,0.00601,ng/mg
30,DA,S1L,0.00331,ng/mg
37,DA,S1L,0.00427,ng/mg
39,DA,S1L,0.00314,ng/mg
46,DA,S1L,0.01749,ng/mg
53,DA,S1L,0.00654,ng/mg
55,DA,S1L,0.00365,ng/mg
23,DA,S1L,0.01145,ng/mg
24,DA,S1L,0.00918,ng/mg
31,DA,S1L,0.00475,ng/mg
36,DA,S1L,0.0008,ng/mg
38,DA,S1L,0.00541,ng/mg
40,DA,S1L,0.00444,ng/mg
44,DA,S1L,0.00433,ng/mg
50,DA,S1L,0.00606,ng/mg
51,DA,S1L,0.00558,ng/mg
57,DA,S1L,0.00521,ng/mg
21,DA,S1L,0.00687,ng/mg
25,DA,S1L,0.00541,ng/mg
35,DA,S1L,0.00552,ng/mg
41,DA,S1L,0.04294,ng/mg
45,DA,S1L,0.00595,ng/mg
49,DA,S1L,0.00765,ng/mg
52,DA,S1L,0.00773,ng/mg
58,DA,S1L,0.00515,ng/mg
61,DA,S1L,0.00531,ng/mg
66,DA,S1L,0.00354,ng/mg
69,DA,S1L,0.00179,ng/mg
2,DA,AC,0.00657,ng/mg
5,DA,AC,0.00886,ng/mg
7,DA,AC,0.00734,ng/mg
9,DA,AC,0.04043,ng/mg
11,DA,AC,0.00962,ng/mg
17,DA,AC,0.10239,ng/mg
20,DA,AC,0.01217,ng/mg
28,DA,AC,0.28381,ng/mg
32,DA,AC,0.0109,ng/mg
59,DA,AC,0.00934,ng/mg
67,DA,AC,0.0098,ng/mg
16,DA,AC,0.00752,ng/mg
18,DA,AC,0.01737,ng/mg
19,DA,AC,0.01279,ng/mg
22,DA,AC,0.01575,ng/mg
27,DA,AC,0.00681,ng/mg
30,DA,AC,0.01724,ng/mg
37,DA,AC,0.01611,ng/mg
39,DA,AC,0.04466,ng/mg
46,DA,AC,0.00889,ng/mg
53,DA,AC,0.0219,ng/mg
55,DA,AC,0.03021,ng/mg
23,DA,AC,0.06745,ng/mg
24,DA,AC,0.01082,ng/mg
31,DA,AC,0.0144,ng/mg
36,DA,AC,0.00864,ng/mg
38,DA,AC,0.01263,ng/mg
40,DA,AC,0.31148,ng/mg
44,DA,AC,0.01593,ng/mg
50,DA,AC,0.01113,ng/mg
51,DA,AC,0.01284,ng/mg
57,DA,AC,0.06437,ng/mg
21,DA,AC,0.00906,ng/mg
25,DA,AC,0.0114,ng/mg
35,DA,AC,0.03347,ng/mg
41,DA,AC,0.00734,ng/mg
45,DA,AC,0.01115,ng/mg
49,DA,AC,0.01486,ng/mg
52,DA,AC,0.01933,ng/mg
58,DA,AC,0.01045,ng/mg
61,DA,AC,0.00965,ng/mg
66,DA,AC,0.03643,ng/mg
69,DA,AC,0.01083,ng/mg
2,DA,V1,0.00533,ng/mg
5,DA,V1,0.0066,ng/mg
7,DA,V1,0.00208,ng/mg
9,DA,V1,0.00972,ng/mg
11,DA,V1,0.00618,ng/mg
17,DA,V1,0.01218,ng/mg
20,DA,V1,0.01555,ng/mg
28,DA,V1,0.00898,ng/mg
32,DA,V1,0.01022,ng/mg
59,DA,V1,0.00725,ng/mg
67,DA,V1,0.00608,ng/mg
16,DA,V1,0.00635,ng/mg
18,DA,V1,0.00011,ng/mg
19,DA,V1,0.00957,ng/mg
22,DA,V1,0.01046,ng/mg
27,DA,V1,0.00184,ng/mg
30,DA,V1,0.00733,ng/mg
37,DA,V1,0.00829,ng/mg
39,DA,V1,0.00331,ng/mg
46,DA,V1,0.01739,ng/mg
53,DA,V1,0.01002,ng/mg
55,DA,V1,0.01125,ng/mg
23,DA,V1,0.00772,ng/mg
24,DA,V1,0.00699,ng/mg
31,DA,V1,0.00632,ng/mg
36,DA,V1,0.01705,ng/mg
38,DA,V1,0.01302,ng/mg
40,DA,V1,0.01502,ng/mg
44,DA,V1,0.00801,ng/mg
50,DA,V1,0.00728,ng/mg
51,DA,V1,0.0146,ng/mg
57,DA,V1,0.00609,ng/mg
21,DA,V1,0.00887,ng/mg
25,DA,V1,0.01287,ng/mg
35,DA,V1,0.03615,ng/mg
41,DA,V1,0.00772,ng/mg
45,DA,V1,0.0003,ng/mg
49,DA,V1,0.00664,ng/mg
52,DA,V1,0.01174,ng/mg
58,DA,V1,0.00674,ng/mg
61,DA,V1,0.00848,ng/mg
66,DA,V1,0.01088,ng/mg
69,DA,V1,0.01166,ng/mg
2,DA,A,0.04629,ng/mg
5,DA,A,0.09291,ng/mg
7,DA,A,0.14315,ng/mg
9,DA,A,1.79797,ng/mg
11,DA,A,0.18848,ng/mg
17,DA,A,0.23451,ng/mg
20,DA,A,0.36077,ng/mg
28,DA,A,0.90545,ng/mg
32,DA,A,0.34339,ng/mg
59,DA,A,0.11475,ng/mg
67,DA,A,0.17863,ng/mg
16,DA,A,0.32188,ng/mg
18,DA,A,0.31267,ng/mg
19,DA,A,0.1416,ng/mg
22,DA,A,0.42785,ng/mg
27,DA,A,0.27034,ng/mg
30,DA,A,0.42419,ng/mg
37,DA,A,1.05348,ng/mg
39,DA,A,0.16984,ng/mg
46,DA,A,0.18204,ng/mg
53,DA,A,0.44499,ng/mg
55,DA,A,0.23939,ng/mg
23,DA,A,0.24703,ng/mg
24,DA,A,0.36549,ng/mg
31,DA,A,0.32892,ng/mg
36,DA,A,0.21797,ng/mg
38,DA,A,0.16339,ng/mg
40,DA,A,0.34738,ng/mg
44,DA,A,0.56631,ng/mg
50,DA,A,0.23179,ng/mg
51,DA,A,0.65894,ng/mg
57,DA,A,0.15947,ng/mg
21,DA,A,0.26518,ng/mg
25,DA,A,0.15447,ng/mg
35,DA,A,0.10563,ng/mg
41,DA,A,0.3355,ng/mg
45,DA,A,0.79872,ng/mg
49,DA,A,1.36448,ng/mg
52,DA,A,0.20512,ng/mg
58,DA,A,0.1645,ng/mg
61,DA,A,0.33579,ng/mg
66,DA,A,0.28887,ng/mg
69,DA,A,0.41141,ng/mg
2,DA,dH,0.00535,ng/mg
5,DA,dH,0.0043,ng/mg
7,DA,dH,0.09871,ng/mg
9,DA,dH,0.02023,ng/mg
11,DA,dH,,ng/mg
17,DA,dH,0.00593,ng/mg
20,DA,dH,0.02028,ng/mg
28,DA,dH,0.06224,ng/mg
32,DA,dH,0.06266,ng/mg
59,DA,dH,,ng/mg
67,DA,dH,0.00848,ng/mg
16,DA,dH,0.07507,ng/mg
18,DA,dH,0.04863,ng/mg
19,DA,dH,0.01518,ng/mg
22,DA,dH,0.07949,ng/mg
27,DA,dH,0.01492,ng/mg
30,DA,dH,0.01621,ng/mg
37,DA,dH,0.05352,ng/mg
39,DA,dH,0.01459,ng/mg
46,DA,dH,0.04297,ng/mg
53,DA,dH,,ng/mg
55,DA,dH,0.02713,ng/mg
23,DA,dH,0.00726,ng/mg
24,DA,dH,0.0199,ng/mg
31,DA,dH,0.02948,ng/mg
36,DA,dH,0.01705,ng/mg
38,DA,dH,,ng/mg
40,DA,dH,0.02837,ng/mg
44,DA,dH,0.08009,ng/mg
50,DA,dH,0.00732,ng/mg
51,DA,dH,,ng/mg
57,DA,dH,0.00558,ng/mg
21,DA,dH,,ng/mg
25,DA,dH,0.01128,ng/mg
35,DA,dH,0.01111,ng/mg
41,DA,dH,0.02999,ng/mg
45,DA,dH,0.05798,ng/mg
49,DA,dH,0.01464,ng/mg
52,DA,dH,0.00595,ng/mg
58,DA,dH,0.02295,ng/mg
61,DA,dH,0.04021,ng/mg
66,DA,dH,0.03657,ng/mg
69,DA,dH,0.02996,ng/mg
2,DA,vH,0.00513,ng/mg
5,DA,vH,0.00962,ng/mg
7,DA,vH,0.0074,ng/mg
9,DA,vH,0.0424,ng/mg
11,DA,vH,0.02983,ng/mg
17,DA,vH,0.00375,ng/mg
20,DA,vH,0.02048,ng/mg
28,DA,vH,0.03609,ng/mg
32,DA,vH,0.02283,ng/mg
59,DA,vH,0.02174,ng/mg
67,DA,vH,0.00639,ng/mg
16,DA,vH,0.02564,ng/mg
18,DA,vH,0.03904,ng/mg
19,DA,vH,0.03441,ng/mg
22,DA,vH,0.01605,ng/mg
27,DA,vH,0.00935,ng/mg
30,DA,vH,0.02259,ng/mg
37,DA,vH,0.05763,ng/mg
39,DA,vH,0.00584,ng/mg
46,DA,vH,0.00749,ng/mg
53,DA,vH,,ng/mg
55,DA,vH,0.00298,ng/mg
23,DA,vH,0.01,ng/mg
24,DA,vH,,ng/mg
31,DA,vH,0.0282,ng/mg
36,DA,vH,0.02346,ng/mg
38,DA,vH,0.04554,ng/mg
40,DA,vH,,ng/mg
44,DA,vH,0.03891,ng/mg
50,DA,vH,0.00664,ng/mg
51,DA,vH,0.04454,ng/mg
57,DA,vH,0.01563,ng/mg
21,DA,vH,0.02327,ng/mg
25,DA,vH,0.01779,ng/mg
35,DA,vH,0.00426,ng/mg
41,DA,vH,,ng/mg
45,DA,vH,0.02957,ng/mg
49,DA,vH,0.03513,ng/mg
52,DA,vH,0.00707,ng/mg
58,DA,vH,0.03104,ng/mg
61,DA,vH,0.01016,ng/mg
66,DA,vH,0.03455,ng/mg
69,DA,vH,,ng/mg
2,DA,NAc,1.34667,ng/mg
5,DA,NAc,1.366,ng/mg
7,DA,NAc,2.20612,ng/mg
9,DA,NAc,1.0948,ng/mg
11,DA,NAc,2.17764,ng/mg
17,DA,NAc,1.23294,ng/mg
20,DA,NAc,2.21486,ng/mg
28,DA,NAc,1.4207,ng/mg
32,DA,NAc,1.7076,ng/mg
59,DA,NAc,3.47943,ng/mg
67,DA,NAc,2.40031,ng/mg
16,DA,NAc,2.52629,ng/mg
18,DA,NAc,1.34748,ng/mg
19,DA,NAc,2.18866,ng/mg
22,DA,NAc,3.24541,ng/mg
27,DA,NAc,3.77209,ng/mg
30,DA,NAc,1.30226,ng/mg
37,DA,NAc,3.0186,ng/mg
39,DA,NAc,3.10038,ng/mg
46,DA,NAc,3.57103,ng/mg
53,DA,NAc,1.76375,ng/mg
55,DA,NAc,2.72712,ng/mg
23,DA,NAc,1.74738,ng/mg
24,DA,NAc,2.54194,ng/mg
31,DA,NAc,2.16865,ng/mg
36,DA,NAc,2.5509,ng/mg
38,DA,NAc,2.28936,ng/mg
40,DA,NAc,3.42114,ng/mg
44,DA,NAc,1.80398,ng/mg
50,DA,NAc,1.50781,ng/mg
51,DA,NAc,2.51952,ng/mg
57,DA,NAc,2.02832,ng/mg
21,DA,NAc,4.00287,ng/mg
25,DA,NAc,2.31667,ng/mg
35,DA,NAc,1.71029,ng/mg
41,DA,NAc,1.43902,ng/mg
45,DA,NAc,1.10384,ng/mg
49,DA,NAc,3.08589,ng/mg
52,DA,NAc,2.95418,ng/mg
58,DA,NAc,2.98961,ng/mg
61,DA,NAc,2.7132,ng/mg
66,DA,NAc,4.34323,ng/mg
69,DA,NAc,3.15283,ng/mg
2,DA,VM,0.48679,ng/mg
5,DA,VM,1.98606,ng/mg
7,DA,VM,4.69902,ng/mg
9,DA,VM,3.28137,ng/mg
11,DA,VM,4.21154,ng/mg
17,DA,VM,0.98318,ng/mg
20,DA,VM,3.37882,ng/mg
28,DA,VM,3.51278,ng/mg
32,DA,VM,5.10354,ng/mg
59,DA,VM,3.69815,ng/mg
67,DA,VM,5.42121,ng/mg
16,DA,VM,4.18143,ng/mg
18,DA,VM,3.58163,ng/mg
19,DA,VM,4.74422,ng/mg
22,DA,VM,3.48811,ng/mg
27,DA,VM,5.39964,ng/mg
30,DA,VM,3.84409,ng/mg
37,DA,VM,3.52272,ng/mg
39,DA,VM,3.49803,ng/mg
46,DA,VM,4.72003,ng/mg
53,DA,VM,4.19383,ng/mg
55,DA,VM,5.27096,ng/mg
23,DA,VM,4.34076,ng/mg
24,DA,VM,4.0222,ng/mg
31,DA,VM,3.18741,ng/mg
36,DA,VM,4.75403,ng/mg
38,DA,VM,3.53573,ng/mg
40,DA,VM,2.78447,ng/mg
44,DA,VM,3.63946,ng/mg
50,DA,VM,4.11348,ng/mg
51,DA,VM,2.97159,ng/mg
57,DA,VM,3.50514,ng/mg
21,DA,VM,2.72599,ng/mg
25,DA,VM,,ng/mg
35,DA,VM,1.34789,ng/mg
41,DA,VM,6.45271,ng/mg
45,DA,VM,4.35885,ng/mg
49,DA,VM,4.68694,ng/mg
52,DA,VM,3.21439,ng/mg
58,DA,VM,5.22397,ng/mg
61,DA,VM,2.90372,ng/mg
66,DA,VM,4.69424,ng/mg
69,DA,VM,4.4486,ng/mg
2,DA,DM,2.46321,ng/mg
5,DA,DM,2.07865,ng/mg
7,DA,DM,4.27991,ng/mg
9,DA,DM,4.93303,ng/mg
11,DA,DM,4.5337,ng/mg
17,DA,DM,2.69225,ng/mg
20,DA,DM,3.16216,ng/mg
28,DA,DM,6.47689,ng/mg
32,DA,DM,5.01528,ng/mg
59,DA,DM,2.87254,ng/mg
67,DA,DM,5.23924,ng/mg
16,DA,DM,4.35241,ng/mg
18,DA,DM,5.26264,ng/mg
19,DA,DM,3.06318,ng/mg
22,DA,DM,3.64116,ng/mg
27,DA,DM,5.79308,ng/mg
30,DA,DM,3.88589,ng/mg
37,DA,DM,2.67073,ng/mg
39,DA,DM,3.15681,ng/mg
46,DA,DM,3.39159,ng/mg
53,DA,DM,3.27374,ng/mg
55,DA,DM,4.29773,ng/mg
23,DA,DM,5.90994,ng/mg
24,DA,DM,4.14567,ng/mg
31,DA,DM,3.79191,ng/mg
36,DA,DM,3.17939,ng/mg
38,DA,DM,4.37179,ng/mg
40,DA,DM,5.80834,ng/mg
44,DA,DM,4.7395,ng/mg
50,DA,DM,3.89055,ng/mg
51,DA,DM,5.14343,ng/mg
57,DA,DM,4.12672,ng/mg
21,DA,DM,4.18921,ng/mg
25,DA,DM,3.03441,ng/mg
35,DA,DM,5.00665,ng/mg
41,DA,DM,6.93497,ng/mg
45,DA,DM,3.9933,ng/mg
49,DA,DM,3.58845,ng/mg
52,DA,DM,3.51208,ng/mg
58,DA,DM,4.87239,ng/mg
61,DA,DM,4.93445,ng/mg
66,DA,DM,6.52194,ng/mg
69,DA,DM,5.56446,ng/mg
2,DA,VL,2.72634,ng/mg
5,DA,VL,6.37105,ng/mg
7,DA,VL,6.59706,ng/mg
9,DA,VL,5.97787,ng/mg
11,DA,VL,8.3508,ng/mg
17,DA,VL,6.02184,ng/mg
20,DA,VL,7.33364,ng/mg
28,DA,VL,7.6374,ng/mg
32,DA,VL,8.83563,ng/mg
59,DA,VL,7.58243,ng/mg
67,DA,VL,8.57634,ng/mg
16,DA,VL,7.11672,ng/mg
18,DA,VL,8.58035,ng/mg
19,DA,VL,9.54096,ng/mg
22,DA,VL,9.28237,ng/mg
27,DA,VL,10.15987,ng/mg
30,DA,VL,6.27394,ng/mg
37,DA,VL,5.33758,ng/mg
39,DA,VL,6.85162,ng/mg
46,DA,VL,9.63716,ng/mg
53,DA,VL,6.99088,ng/mg
55,DA,VL,8.17272,ng/mg
23,DA,VL,7.58452,ng/mg
24,DA,VL,5.89885,ng/mg
31,DA,VL,6.78746,ng/mg
36,DA,VL,4.69798,ng/mg
38,DA,VL,6.44434,ng/mg
40,DA,VL,4.70789,ng/mg
44,DA,VL,6.40459,ng/mg
50,DA,VL,6.5089,ng/mg
51,DA,VL,6.78336,ng/mg
57,DA,VL,6.8997,ng/mg
21,DA,VL,7.77081,ng/mg
25,DA,VL,6.9642,ng/mg
35,DA,VL,7.98064,ng/mg
41,DA,VL,7.22749,ng/mg
45,DA,VL,8.3517,ng/mg
49,DA,VL,4.6774,ng/mg
52,DA,VL,7.17145,ng/mg
58,DA,VL,6.51418,ng/mg
61,DA,VL,6.53991,ng/mg
